State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9491524054057	0.0453119905385273	0.0038349940430257084	6.796666070309765E-4	1.4235238421196912E-5	5.459848477860115E-4	0.0	4.449790879330482E-5	4.1480428933385994E-4	1.4211213816040408E-6
2	0.008106277343329278	0.9707292139261717	0.005944784319941714	6.88834138125029E-5	3.893056047182082E-4	0.011924685175333384	0.0	0.0011069355997607503	7.068410540834128E-4	0.0010230735628490035
3	0.0028706537924063835	0.02467065480932615	0.9583508839059675	0.011931528222985861	2.9332987537343017E-5	0.0020007455888230935	0.0	0.0	1.3996833140933511E-4	6.232361544232826E-6
4	0.004445878445685481	0.0025334368477356877	0.1094910255652481	0.7703931354084462	0.08465536768133956	0.007948080318209337	0.0	0.0	0.02053307573333548	0.0
5	2.1094347044261854E-4	0.004839376185298012	4.315774669040576E-5	0.0315010712304029	0.7979488284328614	0.10655338267184972	0.01095135431510886	0.0146681545068304	1.828223239724527E-4	0.03310090911654345
6	8.959974994934959E-4	0.11571736218382225	0.004598931267870596	0.002154279560416849	0.07653878668441673	0.7029302477936518	0.006482595495471461	0.08730613886646273	0.0018567008665335896	0.001518959781860631
7	0.0	0.0	0.0	0.0	0.003975359869566516	0.0025937727693010025	0.5307936370249552	0.4625798734000235	5.735693615386152E-5	0.0
8	4.9030112399083437E-8	2.0867390874421718E-4	0.0	0.0	2.1192776709779473E-4	0.001607726893410678	0.018103288007560534	0.9775600616831777	0.0020066666399047423	3.0160606999212044E-4
9	2.3422961076279204E-4	0.002850974357663268	1.4749460372047638E-4	0.002213939935225599	4.859462645988512E-5	6.530915358821999E-4	1.5595364354390115E-4	0.044493026599294154	0.9490723187649942	1.3037632245365135E-4
10	3.6640204551794057E-5	0.023077861071365998	5.738098999285527E-5	1.7066187991346867E-5	0.055143194207926016	0.0031660026119050494	0.0	0.037688954128091416	7.089808286565862E-4	0.8801039197695188
